Morph-Lemma,Morph-Inflection,Lemma-Priority,Inflection-Priority,Occurrence
policija,policije,172,545,819
ves,vsa,18,546,816
izjemno,izjemno,785,547,814
en,eni,51,548,813
dan,dnevu,41,549,812
domov,domov,543,550,811
najti,našli,263,551,808
tretji,tretji,229,552,807
podatek,podatkov,129,553,805
denar,denarja,378,554,805
zvečer,zvečer,799,555,805
čakati,čaka,318,556,804
opozoriti,opozoril,335,557,801
napovedati,napovedal,403,558,801
svetoven,svetovni,145,559,800
on,njej,10,560,800
priložnost,priložnost,463,561,800
gibanje,gibanja,418,562,799
izmed,izmed,803,563,799
njegov,njegovi,60,564,798
varnost,varnost,471,565,797
njihov,njihovo,105,566,797
november,novembra,709,567,795
težek,težko,355,568,794
pač,pač,810,569,793
zveza,zveze,222,570,791
zakon,zakon,190,571,788
nazaj,nazaj,820,572,787
februar,februarja,746,573,787
ekipa,ekipe,178,574,784
velik,največji,40,575,783
sklad,skladu,432,576,783
bolnišnica,bolnišnici,173,577,782
zagotovo,zagotovo,828,578,781
biti,sva,0,579,780
svoj,svojim,33,580,779
teden,tednih,77,581,777
star,starejših,114,582,777
župan,župan,557,583,776
prebivalec,prebivalcev,356,584,776
zveza,zvezi,222,585,776
skupina,skupini,111,586,775
tisti,tistih,97,587,773
minuta,minut,246,588,773
vloga,vlogo,332,589,772
zdravstven,zdravstvene,131,590,772
zdravstven,zdravstveni,131,591,771
javen,javnega,110,592,771
okolje,okolje,343,593,769
prvak,prvakov,272,594,769
dom,dom,117,595,768
seja,seji,512,596,767
voditi,vodi,288,597,765
maska,maske,395,598,764
začetek,začetka,160,599,764
številen,številni,165,600,764
doseči,dosegel,250,601,761
star,starejše,114,602,759
glaven,glavni,265,603,758
oseba,osebe,147,604,758
trije,trije,83,605,757
nadzor,nadzor,402,606,757
sporočiti,sporočil,133,607,756
njegov,njegove,60,608,755
žal,žal,851,609,754
očitno,očitno,854,610,753
slovenski,slovensko,52,611,752
temveč,temveč,870,612,749
večkrat,večkrat,871,613,749
zabeležiti,zabeležili,707,614,749
zjutraj,zjutraj,875,615,746
daljava,daljavo,848,616,744
zapisati,zapisal,252,617,744
vodstvo,vodstvo,412,618,743
ugotoviti,ugotovili,438,619,743
pojasniti,pojasnili,192,620,742
družina,družine,211,621,740
agencija,agencije,264,622,739
ekipa,ekipa,178,623,738
sporočiti,sporočila,133,624,736
delež,delež,732,625,736
italija,italiji,687,626,735
omejitev,omejitev,454,627,732
promet,promet,363,628,731
uporaba,uporabo,347,629,730
sredstvo,sredstva,283,630,730
posledica,posledice,267,631,729
dva,dvema,54,632,728
videti,videti,171,633,728
bolnišnica,bolnišnice,173,634,727
zaposlen,zaposleni,154,635,727
naš,naš,78,636,725
prejšnji,prejšnji,372,637,725
dolar,dolarjev,797,638,722
uprava,uprave,455,639,721
občina,občini,189,640,721
jaz,jaz,32,641,720
predstavljati,predstavlja,368,642,719
organizacija,organizacije,260,643,717
točka,točke,177,644,717
evropski,evropska,98,645,715
oba,obeh,271,646,715
zadeva,zadeve,466,647,714
umreti,umrl,188,648,713
višina,višini,558,649,711
potreben,potrebno,298,650,711
štirje,štirih,162,651,710
vrata,vrata,544,652,709
rešitev,rešitev,461,653,708
zaščiten,zaščitne,333,654,708
delovati,deluje,334,655,708
kje,kje,936,656,708
dobiti,dobila,119,657,707
podatek,podatke,129,658,707
trener,trener,462,659,706
meniti,meni,405,660,705
zdravstven,zdravstvenih,131,661,705
popolnoma,popolnoma,944,662,703
njegov,njegovem,60,663,702
oba,oba,271,664,702
družba,družbi,174,665,701
številen,številnih,165,666,699
zadnji,zadnje,65,667,698
namesto,namesto,948,668,698
sistem,sistema,204,669,698
postopek,postopek,261,670,697
podatek,podatki,129,671,695
razmera,razmer,163,672,695
večinoma,večinoma,954,673,694
njen,njen,124,674,693
igra,igre,289,675,693
trenutek,trenutku,433,676,692
vendarle,vendarle,957,677,692
prvenstvo,prvenstva,306,678,692
občina,občine,189,679,691
kar,čemer,36,680,691
obenem,obenem,961,681,690
prejeti,prejeli,294,682,688
velik,večje,40,683,686
drug,drugimi,27,684,684
ves,vsega,18,685,684
podjetje,podjetij,103,686,683
postati,postala,193,687,679
medij,mediji,329,688,679
svetoven,svetovnega,145,689,678
test,testov,277,690,678
preko,preko,979,691,678
pozno,pozneje,712,692,677
nijz,nijz,980,693,677
želeti,želel,89,694,676
center,centra,217,695,676
hrvaški,hrvaški,201,696,676
denar,denar,378,697,675
dan,dnevi,41,698,675
naslov,naslov,394,699,675
član,člani,258,700,672
minister,ministra,146,701,671
preden,preden,985,702,670
blizu,blizu,922,703,670
skupnost,skupnosti,608,704,670
razmera,razmerah,163,705,670
evropski,evropskih,98,706,669
cepivo,cepiva,457,707,669
epidemija,epidemijo,108,708,667
tekma,tekma,84,709,667
kriza,krize,340,710,666
moči,morejo,137,711,666
kakšen,kakšen,166,712,665
tiskoven,tiskovna,477,713,665
znan,znano,275,714,665
velik,večji,40,715,663
roka,roke,238,716,663
sprejeti,sprejeli,245,717,663
dober,dober,64,718,661
voda,vode,336,719,659
