Morph-lemma,Morph-inflection
först,Först
ungdom,ungdomar
greps,greps
område,område
ske,ske
kalla,kallas
åtala,åtalas
längs,längs
stiga,steg
lägga,lägger
invasion,invasion
försöka,försökte
intresse,intresse
förstå,förstår
avtal,avtal
alternativ,alternativ
statsminist,statsminister
råda,råder
plötslig,plötsligt
total,Totalt
ena,ena
skriva,skriva
flykting,flyktingar
peka,pekar
sanktion,sanktioner
vara,vore
närhet,närheten
dog,dog
höra,höra
förstå,förstå
sikt,sikt
drog,drog
sluta,sluta
var,Var
inför,Inför
berätta,berättade
skola,skolor
ske,skedde
kommun,kommunens
hälft,hälften
lycka,lyckats
vald,valde
sekund,sekunder
tolv,tolv
hög,högst
förutsättning,förutsättningar
svara,svarar
pris,pris
Liberalerna,Liberalerna
bidra,bidra
drabba,drabbats
spelarna,spelarna
räkna,räknar
intervju,intervju
hemsida,hemsida
premiärminist,premiärminister
skada,skada
sån,sådana
fortsatte,fortsatte
möta,möta
skada,skadade
tyckas,tycks
använda,användas
universitet,universitet
Ägarbytet,Ägarbytet
drabba,drabbas
film,film
död,döda
läsa,läsa
pågående,pågående
polis,polisens
kul,kul
råd,råd
förstås,förstås
län,län
synas,syns
heta,heter
resurs,resurser
militär,militära
av,Av
förra,Förra
göra,görs
äga,äger
tingsrätt,tingsrätt
natt,natt
medarbetare,medarbetare
tillstånd,tillstånd
norr,norr
publik,publiken
liten,lilla
brand,brand
invasion,invasionen
öppen,öppet
känd,känd
tydlig,tydlig
glad,glad
enbart,enbart
medborgare,medborgare
tro,tro
minska,minskar
måndag,måndag
kraft,kraft
kontrakt,kontrakt
svår,svåra
kalla,kallar
förslag,förslaget
varav,varav
hävda,hävdar
rest,resten
morgon,morgon
tillgång,tillgång
vänta,väntat
utifrån,utifrån
bestå,består
tack,tack
brittisk,brittiska
ond,värsta
skicka,skicka
misstänka,misstänks
relation,relation
kanske,Kanske
Årets,Årets
ske,skett
svensk,svenskt
förklara,förklarar
bostad,bostad
rädda,rädda
tanke,tanke
lösa,lösa
fransk,franska
pris,priserna
sannolik,sannolikt
rättighet,rättigheter
vuxen,vuxna
skada,skadades
spela,spelas
stopp,stopp
positiv,positiva
konsekvens,konsekvenser
svara,svarade
Just,Just
få,färre
straff,straff
brande,branden
larm,larm
pass,pass
stiga,stigande
framgå,framgår
räcka,räcker
